Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
POL120240099,22/05/2024,CORREDORA DE SEGUROS BRISTOL SPA,póliza de garantía de corredor de seguros,,"- Varios Seg. Generales
", - , - 
POL120240098,20/05/2024,ASEGURADORA PORVENIR S.A.,"PÓLIZA DE SEGURO DE CAUCIÓN PARA VEEDORES Y LIQUIDADORES DE LA LEY DE REORGANIZACIÓN Y LIQUIDACION DE ACTIVOS DE EMPRESAS Y PERSONAS
",,"- Garantías y Fidelidad
", - , - 
POL320240097,16/05/2024,COLMENA COMPAÑIA DE SEGUROS DE VIDA S.A.,SEGURO COLECTIVO DE REEMBOLSO DE GASTOS MEDICOS POR HOSPITALIZACIÓN,,"- Salud
", - , - 
CAD320240096,14/05/2024,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,CLAUSULA ADICIONAL DE INVALIDEZ ACCIDENTAL,"POL120130166
","- Accidentes Personales
", - , - 
CAD320240095,14/05/2024,BNP PARIBAS CARDIF SEGUROS GENERALES S.A.,CLAUSULA ADICIONAL DE INVALIDEZ PERMANENTE DOS TERCIOS,"POL120130166
","- Accidentes Personales
", - , - 
POL120240094,14/05/2024,SOUTHBRIDGE COMPAÑIA DE SEGUROS GENERALES S.A.,SEGURO DE RESPONSABILIDAD CIVIL DE DIRECTORES Y EJECUTIVOS y DE RESPONSABILIDAD CIVIL PROFESIONAL PARA ADMINISTRADORES GENERALES DE FONDOS ,,"- Otro tema
- Responsabilidad Civil
", - , - 
POL220240093,13/05/2024,BICE VIDA COMPAÑIA DE SEGUROS S.A.,SEGURO COLECTIVO DE VIDA CON RENTA ANUAL POR ESCOLARIDAD,"CAD220130945
CAD220130948
CAD220131368
","- Vida
", - , - 
POL220240092,09/05/2024,COMPAÑIA DE SEGUROS DE VIDA CAMARA S.A.,Seguro Colectivo Temporal de Vida,,"- Vida
", - , - 
POL220240091,01/05/2024,CHUBB SEGUROS DE VIDA CHILE S.A.,SEGURO COLECTIVO DE VIDA,,"- Vida
", - , - 
POL320240090,01/05/2024,CHUBB SEGUROS CHILE S.A.,"SEGURO DE PROTECCIÓN PARA EMPLEADORES POR ACCIDENTES DE
EMPLEADOS
",,"- Accidentes Personales
", - , - 
